建业·西城森林半岛2#,4267.21,2017/2/17
恒大御景18#地块02,6501.15,2016/9/15
盛鑫红场1#2#3#4#21#(即18#附属楼）22#（即20#附属楼）,0.0,2015/12/15
天明·第一城（二期）,3393.64,2012/3/30
嘉业城市花园一期6#,4508.16,2014/10/12
旭峰佳苑小区,2989.48,2016/7/31
东吴庄城中村改造（永信·伯爵山）（一期）3#楼,0.0,2015/11/25
丰泽园1#、2#楼,3852.41,2017/4/28
天翼滨湖国际（一期1#2#）,4178.77,2016/12/31
龙祥居小区1,2800.0,2014/5/10
建业·西城森林半岛8# 、9#,4427.94,2017/2/17
丰泽园3#、6#、22#楼,3830.55,2016/8/7
丰泽园23#楼,0.0,2016/8/5
盛鑫红场17#19#,2862.37,2015/12/15
枫桦豪庭住宅小区2#楼,3170.26,2014/7/26
滨河颐景园·西区（官邸）,9643.02,2015/5/3
建业·西城森林半岛11#、22#,10759.48,2017/5/30
漯河中王奥特莱斯购物广场(4#、5#、6#),0.0,2016/6/30
广弘豪庭6,4849.03,2015/12/30
博顺·未来华城6#、10#、12#,3239.71,2016/7/30
东方明珠小区（南区）5、6,3397.6,2016/5/16
东方明珠小区（南区）1、2、3,3209.88,2016/5/16
天鑫现代城一期商铺,0.0,2014/7/1
蓝爵世家(三期),3000.0,2016/1/23
建业·西城森林半岛3#、10#,4417.79,2017/2/17
文萃*百合春天,0.0,2015/10/1
中央公园26#、27#、28#,3332.24,2016/10/20
书香华庭,2270.91,2015/12/31
奥林匹克花园,3880.96,2016/3/10
苏荷红馆,4723.82,2016/7/31
天鑫·现代城15#17#,4077.89,2016/5/5
天翼滨湖国际广场（一期）3#4#楼,4119.22,2016/11/20
锦绣城小区二期,2838.86,2016/1/25
在建测试,3000.0,2015/5/14
丰泽园,4783.07,2014/11/5
测试,0.0,2015/5/22
昌建广场2,5559.15,2016/7/1
昌建广场3,5491.73,2016/7/1
昌建广场4,5460.32,2016/7/1
盛鑫红场18#20#,2793.94,2016/1/11
深圳中德宝汽车城,0.0,2015/12/30
博睿国典三期23#、25#楼,3153.9,2016/3/7
博睿国典三期20#、21#、22#楼,3236.92,2016/3/7
盛世春天9#、10#、11#楼,3450.33,2016/2/24
盛世春天12#、13#、8#楼,3485.93,2016/2/24
湘江公寓,3774.2,2016/4/30
恒大御景18#地块01,6115.23,2016/9/15
中润大河熙岸（二期）19#,4284.34,2014/11/30
恒大名都一期05,5198.92,2017/2/1
盛鑫红场6#7#8#9#13#14#,0.0,2015/12/15
汇成商务中心,0.0,2015/10/20
亿博翰林汇16,3352.66,2015/3/30
华东森林湖（二期）12,0.0,2015/7/7
华东森林湖（二期）11,0.0,2015/7/7
华东森林湖（二期）6,0.0,2015/7/7
宏阳·江南岸8、9,3390.4,2015/8/12
华东森林湖（二期）10,0.0,2015/7/7
东吴庄城中村改造（永信.伯爵山）（一期）7#,4374.37,2016/3/31
漯河天安家园住宅小区-1,3251.27,2015/10/31
漯河天安家园住宅小区,3351.29,2015/10/30
义乌国际商贸城（一期）,0.0,2016/11/15
东吴庄城中村改造（永信·伯爵山）（一期）2#楼,4257.33,2015/11/25
中投·湾景国际10#、12#楼,3298.78,2016/12/31
万美时代1号楼,3221.04,2015/10/10
金色龙湾（一期）2,3694.49,2016/8/20
金色龙湾（一期）1,3874.67,2016/8/20
金色龙湾（一期）,3698.54,2016/8/20
恒大名都二期04,5524.86,2017/2/1
漯河中王奥特莱斯购物广场,0.0,2016/6/30
昌建广场1,0.0,2016/7/1
淞江国际花园,3930.02,2015/12/26
闽商大厦,0.0,2016/10/31
昌建东外滩3,0.0,2015/4/25
瑞通汽配建材综合市场,0.0,2015/3/31
昌建东外滩4,0.0,2014/7/24
解放新苑,3806.59,2013/6/1
时代广场,3800.92,2013/5/11
宏阳·江南岸5、6、7,3356.58,2015/8/12
天翼星公馆商铺,0.0,2015/3/25
宏阳·江南岸1、2、3,3235.62,2015/8/12
华东竹苑,5327.91,2015/5/29
泰威·东方港湾5#、7#,3317.13,2015/5/11
威尼斯国际花园,3328.12,2015/10/20
三庭轩住宅小区22#,3265.05,2015/6/5
三庭轩住宅小区5#,3356.09,2015/4/6
锦绣城小区,2605.35,2015/4/15
MOCO新世界二期3,0.0,2015/3/25
华东森林湖（二期）3,6136.02,2015/7/7
华东森林湖（二期）1,0.0,2015/7/7
华东森林湖（二期）2,0.0,2015/7/7
华东森林湖（二期）9,0.0,2015/7/7
华东森林湖（二期）8,0.0,2014/7/7
华东森林湖（二期）7,0.0,2015/7/7
华东森林湖（二期）4,0.0,2015/7/7
建业.西城森林半岛20#、21#,11250.42,2015/7/11
建业.西城森林半岛17#、18#、19#,10595.05,2015/7/11
建业.西城森林半岛12#、15#、16#,10367.09,2015/7/11
东吴庄城中村改造（永信.伯爵山）（一期）,4454.57,2015/11/25
东吴庄城中村改造（永信.伯爵山）（一期）1,4535.42,2016/7/31
电子科技大厦,5385.77,2016/6/2
闽豫建材电子商务港（一期）,0.0,2015/5/1
泰威·东方港湾A,3449.74,2015/5/11
泰威东方港湾6#,3372.06,2015/5/11
嘉业城市花园一期3#9#,4057.31,2016/2/15
银海.林溪湾2,3273.84,2015/7/7
银海.林溪湾1,3175.74,2015/7/7
天翼·星公馆3号楼,4643.58,2015/3/25
天翼星公馆,4702.64,2015/5/1
MOCO新世界二期1,4356.62,2015/9/26
MOCO新世界二期2,4152.95,2015/9/26
嘉业城市花园一期2A,0.0,2015/12/1
嘉业城市花园一期1#5#8#,4174.07,2015/12/1
天明第一城四期一批02,3312.89,2014/5/20
天明第一城四期一批01,3595.06,2014/5/20
天明第一城四期一批,3520.05,2014/5/20
东都银座1,4682.62,2014/10/5
东都银座,4810.22,2014/10/5
天鑫.现代城（二期）,3483.79,2016/5/5
昌建广场（一期）,0.0,2016/7/10
九龙湾,4667.18,2016/1/31
永冠湘江路住宅小区8#、10#,3912.23,2013/11/9
永冠湘江路住宅小区3#、6#,3883.73,2013/11/9
永冠湘江路住宅小区1#、2#、4#,3614.71,2015/4/12
盛世浩苑小区11、14、18,0.0,2013/3/15
盛世浩苑小区16.17.20,0.0,2012/12/1
盛世浩苑13、23,0.0,2013/3/15
壹号城邦六期B2座,6110.97,2016/5/12
波普e墅家-02,0.0,2015/4/6
滨河颐景园西区（官邸）2,5310.33,2016/3/11
滨河颐景园西区（官邸）,5024.01,2016/3/11
天明第一城20\5,2675.9,2012/11/30
壹号城邦四期28、29、30,4326.38,2015/10/5
壹号城邦四期35#楼,4273.68,2016/4/27
恒大名都一期01,6046.28,2016/3/1
恒大名都一期02,5962.95,2016/3/1
恒大名都一期03,5726.36,2016/3/1
华东森林湖小区,3814.31,2014/8/1
北京路现代城（一期）,3419.21,2014/2/15
中投.湾景国际2#、4#楼,3371.5,2015/6/30
三庭轩小区,3542.0,2010/3/1
广弘豪庭1,4578.73,2015/12/30
广弘豪庭5,8,4663.77,2015/12/30
广弘豪庭2,3,4,4597.49,2015/12/30
泰威·中央公园二期C,3562.52,2015/1/25
博顺·未来华城,3490.11,2016/5/1
壹号城邦四期33#楼,4407.06,2016/4/27
螺湾小镇7#、11#、12#,0.0,2014/5/25
螺湾小镇6#、14#,0.0,2014/8/20
螺湾小镇21#、28#,0.0,2014/11/29
螺湾小镇15#、20#、22#,0.0,2015/1/4
螺湾小镇26#,0.0,2014/12/28
螺湾小镇13#,0.0,2014/5/25
螺湾小镇18#、19#、25#,0.0,2014/12/28
沙田·新空间南区,2911.29,2010/9/16
瑞贝卡家天下. 3,3163.55,2014/11/14
瑞贝卡家天下.3,3779.62,2014/8/30
龙祥居小区,2480.76,2013/1/21
丰泽园11#、12#、15#楼,4975.61,2014/11/5
亿博翰林汇15,3348.07,2015/3/20
亿博翰林汇11-13,3360.15,2015/3/20
伟业·万和城南区4,2961.3,2014/1/1
伟业·万和城南区1,2789.93,2014/1/1
伟业·万和城南区2,2867.49,2014/1/1
伟业·万和城南区3,2913.73,2014/1/1
昌建东外滩2,5323.12,2015/4/25
苏荷公馆1#,4259.06,2014/12/21
MOCO新世界二期,4496.32,2015/3/25
MOCO新世界一期,0.0,2014/4/18
丰泽园（月湾湖东岸）13#、17#、18#楼,4965.01,2014/11/5
波普e墅家-01,6946.23,2015/4/6
波普e墅家,6064.16,2015/4/6
中润大河熙岸（二期）5#、9#、12#,4568.51,2014/11/30
昌建东外滩1,5969.12,2014/7/24
华业玉苑小区,3808.81,2015/9/1
德怡.枫林湾1,3583.21,2014/10/31
文明时代广场4,0.0,2010/7/16
文明时代广场2,1999.64,2013/3/1
文明时代广场3,0.0,2010/7/16
中安信业现代城,3618.46,2015/2/16
君临华府2,3564.59,2014/10/28
万美时代,3220.54,2014/11/5
荣凯·巴黎都市16、17、18号楼,3546.29,2013/6/16
荣凯·巴黎都市19号楼,3594.21,2013/6/16
